"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","ALBANY PARK","2018","PEDALCYCLIST",36,26,0,2,18,6
"2","ALBANY PARK","2018","PEDESTRIAN",43,42,0,10,25,7
"3","ALBANY PARK","2018","Vehicle/Other",1198,128,1,12,67,48
"4","ALBANY PARK","2019","PEDALCYCLIST",26,24,0,4,18,2
"5","ALBANY PARK","2019","PEDESTRIAN",35,32,0,9,19,4
"6","ALBANY PARK","2019","Vehicle/Other",1156,94,0,14,39,41
"7","ALBANY PARK","2020","PEDALCYCLIST",30,23,0,3,17,3
"8","ALBANY PARK","2020","PEDESTRIAN",30,28,1,5,19,3
"9","ALBANY PARK","2020","Vehicle/Other",852,99,0,13,44,42
"10","ARCHER HEIGHTS","2018","PEDALCYCLIST",3,3,0,0,3,0
"11","ARCHER HEIGHTS","2018","PEDESTRIAN",12,13,1,4,6,2
"12","ARCHER HEIGHTS","2018","Vehicle/Other",984,108,2,15,53,38
"13","ARCHER HEIGHTS","2019","PEDALCYCLIST",5,3,0,1,2,0
"14","ARCHER HEIGHTS","2019","PEDESTRIAN",11,11,0,1,9,1
"15","ARCHER HEIGHTS","2019","Vehicle/Other",919,135,0,14,68,53
"16","ARCHER HEIGHTS","2020","PEDALCYCLIST",4,2,1,0,1,0
"17","ARCHER HEIGHTS","2020","PEDESTRIAN",12,9,0,1,8,0
"18","ARCHER HEIGHTS","2020","Vehicle/Other",690,127,3,14,54,56
"19","ARMOUR SQUARE","2018","PEDALCYCLIST",15,7,0,1,3,3
"20","ARMOUR SQUARE","2018","PEDESTRIAN",22,19,0,3,16,0
"21","ARMOUR SQUARE","2018","Vehicle/Other",670,96,2,12,56,26
"22","ARMOUR SQUARE","2019","PEDALCYCLIST",12,10,0,1,7,2
"23","ARMOUR SQUARE","2019","PEDESTRIAN",19,17,0,4,9,4
"24","ARMOUR SQUARE","2019","Vehicle/Other",720,70,0,10,40,20
"25","ARMOUR SQUARE","2020","PEDALCYCLIST",9,5,0,0,5,0
"26","ARMOUR SQUARE","2020","PEDESTRIAN",10,9,1,1,7,0
"27","ARMOUR SQUARE","2020","Vehicle/Other",424,59,0,12,36,11
"28","ASHBURN","2018","PEDALCYCLIST",8,5,0,2,2,1
"29","ASHBURN","2018","PEDESTRIAN",30,29,2,6,19,2
"30","ASHBURN","2018","Vehicle/Other",1478,308,0,35,190,83
"31","ASHBURN","2019","PEDALCYCLIST",6,4,0,0,2,2
"32","ASHBURN","2019","PEDESTRIAN",20,17,0,6,7,4
"33","ASHBURN","2019","Vehicle/Other",1549,264,1,37,149,77
"34","ASHBURN","2020","PEDALCYCLIST",5,2,1,0,1,0
"35","ASHBURN","2020","PEDESTRIAN",11,10,0,3,6,1
"36","ASHBURN","2020","Vehicle/Other",1378,307,5,42,172,88
"37","AUBURN GRESHAM","2018","PEDALCYCLIST",17,12,0,1,5,6
"38","AUBURN GRESHAM","2018","PEDESTRIAN",72,70,0,16,39,15
"39","AUBURN GRESHAM","2018","Vehicle/Other",2133,442,2,31,225,184
"40","AUBURN GRESHAM","2019","PEDALCYCLIST",13,8,0,2,4,2
"41","AUBURN GRESHAM","2019","PEDESTRIAN",65,59,0,13,36,10
"42","AUBURN GRESHAM","2019","Vehicle/Other",1938,433,3,35,227,168
"43","AUBURN GRESHAM","2020","PEDALCYCLIST",9,8,0,2,4,2
"44","AUBURN GRESHAM","2020","PEDESTRIAN",60,55,1,12,40,2
"45","AUBURN GRESHAM","2020","Vehicle/Other",2132,520,6,30,290,194
"46","AUSTIN","2018","PEDALCYCLIST",40,35,0,3,27,5
"47","AUSTIN","2018","PEDESTRIAN",127,117,0,19,77,21
"48","AUSTIN","2018","Vehicle/Other",4895,1029,8,107,521,393
"49","AUSTIN","2019","PEDALCYCLIST",40,30,0,4,24,2
"50","AUSTIN","2019","PEDESTRIAN",148,151,2,23,91,35
"51","AUSTIN","2019","Vehicle/Other",5010,1091,4,87,636,364
"52","AUSTIN","2020","PEDALCYCLIST",45,32,0,6,21,5
"53","AUSTIN","2020","PEDESTRIAN",128,128,0,31,79,18
"54","AUSTIN","2020","Vehicle/Other",5255,1239,7,117,757,358
"55","AVALON PARK","2018","PEDALCYCLIST",3,1,0,0,1,0
"56","AVALON PARK","2018","PEDESTRIAN",11,9,0,2,6,1
"57","AVALON PARK","2018","Vehicle/Other",628,175,0,16,116,43
"58","AVALON PARK","2019","PEDALCYCLIST",2,0,0,0,0,0
"59","AVALON PARK","2019","PEDESTRIAN",12,11,0,4,5,2
"60","AVALON PARK","2019","Vehicle/Other",696,184,0,17,94,73
"61","AVALON PARK","2020","PEDALCYCLIST",1,1,0,0,1,0
"62","AVALON PARK","2020","PEDESTRIAN",9,5,0,1,4,0
"63","AVALON PARK","2020","Vehicle/Other",643,162,3,17,93,49
"64","AVONDALE","2018","PEDALCYCLIST",24,16,0,2,11,3
"65","AVONDALE","2018","PEDESTRIAN",36,39,0,6,30,3
"66","AVONDALE","2018","Vehicle/Other",1567,181,3,22,102,54
"67","AVONDALE","2019","PEDALCYCLIST",27,21,0,1,17,3
"68","AVONDALE","2019","PEDESTRIAN",49,45,0,10,29,6
"69","AVONDALE","2019","Vehicle/Other",1448,183,0,13,102,68
"70","AVONDALE","2020","PEDALCYCLIST",27,17,0,1,9,7
"71","AVONDALE","2020","PEDESTRIAN",18,15,0,6,7,2
"72","AVONDALE","2020","Vehicle/Other",1046,109,0,7,63,39
"73","BELMONT CRAGIN","2018","PEDALCYCLIST",59,44,0,6,32,6
"74","BELMONT CRAGIN","2018","PEDESTRIAN",60,57,1,10,34,12
"75","BELMONT CRAGIN","2018","Vehicle/Other",2826,332,0,37,183,112
"76","BELMONT CRAGIN","2019","PEDALCYCLIST",40,32,0,5,25,2
"77","BELMONT CRAGIN","2019","PEDESTRIAN",78,80,4,17,41,18
"78","BELMONT CRAGIN","2019","Vehicle/Other",2900,435,1,36,241,157
"79","BELMONT CRAGIN","2020","PEDALCYCLIST",34,20,0,2,18,0
"80","BELMONT CRAGIN","2020","PEDESTRIAN",45,39,0,8,20,11
"81","BELMONT CRAGIN","2020","Vehicle/Other",2246,305,0,34,170,101
"82","BEVERLY","2018","PEDALCYCLIST",6,3,0,1,1,1
"83","BEVERLY","2018","PEDESTRIAN",8,6,0,2,2,2
"84","BEVERLY","2018","Vehicle/Other",781,150,0,5,70,75
"85","BEVERLY","2019","PEDALCYCLIST",4,2,0,0,2,0
"86","BEVERLY","2019","PEDESTRIAN",8,5,0,1,4,0
"87","BEVERLY","2019","Vehicle/Other",827,139,0,9,64,66
"88","BEVERLY","2020","PEDALCYCLIST",11,7,0,1,5,1
"89","BEVERLY","2020","PEDESTRIAN",4,2,0,1,1,0
"90","BEVERLY","2020","Vehicle/Other",633,107,0,7,53,47
"91","BRIDGEPORT","2018","PEDALCYCLIST",37,26,0,0,23,3
"92","BRIDGEPORT","2018","PEDESTRIAN",29,25,0,2,17,6
"93","BRIDGEPORT","2018","Vehicle/Other",752,86,0,10,48,28
"94","BRIDGEPORT","2019","PEDALCYCLIST",29,21,0,3,15,3
"95","BRIDGEPORT","2019","PEDESTRIAN",27,25,0,3,15,7
"96","BRIDGEPORT","2019","Vehicle/Other",736,93,0,16,48,29
"97","BRIDGEPORT","2020","PEDALCYCLIST",19,15,0,3,11,1
"98","BRIDGEPORT","2020","PEDESTRIAN",16,14,0,4,7,3
"99","BRIDGEPORT","2020","Vehicle/Other",510,78,1,5,49,23
"100","BRIGHTON PARK","2018","PEDALCYCLIST",12,9,0,0,6,3
"101","BRIGHTON PARK","2018","PEDESTRIAN",42,40,1,10,24,5
"102","BRIGHTON PARK","2018","Vehicle/Other",1625,241,3,24,126,88
"103","BRIGHTON PARK","2019","PEDALCYCLIST",17,12,0,2,9,1
"104","BRIGHTON PARK","2019","PEDESTRIAN",32,30,1,4,23,2
"105","BRIGHTON PARK","2019","Vehicle/Other",1630,204,1,12,120,71
"106","BRIGHTON PARK","2020","PEDALCYCLIST",18,11,0,2,9,0
"107","BRIGHTON PARK","2020","PEDESTRIAN",22,23,0,2,18,3
"108","BRIGHTON PARK","2020","Vehicle/Other",1253,189,1,19,103,66
"109","BURNSIDE","2018","Vehicle/Other",88,15,0,1,13,1
"110","BURNSIDE","2019","PEDESTRIAN",1,1,0,0,1,0
"111","BURNSIDE","2019","Vehicle/Other",103,11,0,4,5,2
"112","BURNSIDE","2020","PEDALCYCLIST",1,1,0,0,1,0
"113","BURNSIDE","2020","PEDESTRIAN",1,1,0,1,0,0
"114","BURNSIDE","2020","Vehicle/Other",79,22,3,5,3,11
"115","CALUMET HEIGHTS","2018","PEDALCYCLIST",2,1,0,0,1,0
"116","CALUMET HEIGHTS","2018","PEDESTRIAN",7,6,1,1,4,0
"117","CALUMET HEIGHTS","2018","Vehicle/Other",657,178,0,15,116,47
"118","CALUMET HEIGHTS","2019","PEDALCYCLIST",3,3,0,1,2,0
"119","CALUMET HEIGHTS","2019","PEDESTRIAN",14,13,1,2,7,3
"120","CALUMET HEIGHTS","2019","Vehicle/Other",607,137,1,16,74,46
"121","CALUMET HEIGHTS","2020","PEDALCYCLIST",2,2,0,1,1,0
"122","CALUMET HEIGHTS","2020","PEDESTRIAN",6,5,0,1,4,0
