"","police_dist","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","1","2018","PEDALCYCLIST",141,78,0,8,55,15
"2","1","2018","PEDESTRIAN",253,216,0,37,139,40
"3","1","2018","Vehicle/Other",7509,896,4,98,505,289
"4","1","2019","PEDALCYCLIST",137,83,0,6,64,13
"5","1","2019","PEDESTRIAN",280,254,2,32,165,55
"6","1","2019","Vehicle/Other",7204,925,6,88,460,371
"7","1","2020","PEDALCYCLIST",53,33,0,9,17,7
"8","1","2020","PEDESTRIAN",101,79,2,13,49,15
"9","1","2020","Vehicle/Other",3657,612,4,69,335,204
"10","10","2018","PEDALCYCLIST",42,32,0,6,21,5
"11","10","2018","PEDESTRIAN",132,129,3,25,75,26
"12","10","2018","Vehicle/Other",4196,725,1,55,395,274
"13","10","2019","PEDALCYCLIST",50,33,0,3,19,11
"14","10","2019","PEDESTRIAN",124,129,2,14,88,25
"15","10","2019","Vehicle/Other",4188,766,4,69,405,288
"16","10","2020","PEDALCYCLIST",42,29,1,3,19,6
"17","10","2020","PEDESTRIAN",91,99,2,21,57,19
"18","10","2020","Vehicle/Other",3776,741,4,93,400,244
"19","11","2018","PEDALCYCLIST",59,43,1,8,30,4
"20","11","2018","PEDESTRIAN",178,174,2,32,107,33
"21","11","2018","Vehicle/Other",4500,1223,6,92,683,442
"22","11","2019","PEDALCYCLIST",74,58,1,7,43,7
"23","11","2019","PEDESTRIAN",149,141,3,31,89,18
"24","11","2019","Vehicle/Other",4534,1370,4,125,784,457
"25","11","2020","PEDALCYCLIST",37,30,1,5,17,7
"26","11","2020","PEDESTRIAN",180,169,6,36,107,20
"27","11","2020","Vehicle/Other",5049,1438,10,159,856,413
"28","12","2018","PEDALCYCLIST",213,135,2,22,93,18
"29","12","2018","PEDESTRIAN",227,203,1,30,128,44
"30","12","2018","Vehicle/Other",8103,1218,3,131,661,423
"31","12","2019","PEDALCYCLIST",225,149,0,24,101,24
"32","12","2019","PEDESTRIAN",209,189,0,33,117,39
"33","12","2019","Vehicle/Other",7882,1174,7,117,671,379
"34","12","2020","PEDALCYCLIST",126,89,1,10,64,14
