"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","17031010100","2018","PEDALCYCLIST",1,1,0,0,1,0
"2","17031010100","2018","PEDESTRIAN",3,3,0,0,2,1
"3","17031010100","2018","Vehicle/Other",87,3,0,1,1,1
"4","17031010100","2019","PEDALCYCLIST",1,1,0,0,1,0
"5","17031010100","2019","PEDESTRIAN",1,1,0,0,1,0
"6","17031010100","2019","Vehicle/Other",89,3,0,0,2,1
"7","17031010100","2020","PEDALCYCLIST",1,0,0,0,0,0
"8","17031010100","2020","PEDESTRIAN",1,1,0,0,1,0
"9","17031010100","2020","Vehicle/Other",69,13,0,2,8,3
"10","17031010201","2018","PEDALCYCLIST",3,2,0,0,1,1
"11","17031010201","2018","PEDESTRIAN",4,4,0,2,2,0
"12","17031010201","2018","Vehicle/Other",148,11,0,0,11,0
"13","17031010201","2019","PEDALCYCLIST",4,5,0,1,3,1
"14","17031010201","2019","PEDESTRIAN",2,2,0,1,1,0
"15","17031010201","2019","Vehicle/Other",164,13,0,0,11,2
"16","17031010201","2020","PEDALCYCLIST",1,1,0,0,1,0
"17","17031010201","2020","PEDESTRIAN",4,4,0,0,2,2
"18","17031010201","2020","Vehicle/Other",102,6,0,0,5,1
"19","17031010202","2018","PEDESTRIAN",5,5,0,1,4,0
"20","17031010202","2018","Vehicle/Other",127,5,0,2,1,2
"21","17031010202","2019","PEDALCYCLIST",1,0,0,0,0,0
"22","17031010202","2019","PEDESTRIAN",4,4,0,1,2,1
"23","17031010202","2019","Vehicle/Other",118,11,0,0,6,5
"24","17031010202","2020","PEDALCYCLIST",1,1,0,1,0,0
"25","17031010202","2020","PEDESTRIAN",4,4,0,0,2,2
"26","17031010202","2020","Vehicle/Other",103,8,0,0,5,3
"27","17031010300","2018","PEDALCYCLIST",3,1,0,0,1,0
"28","17031010300","2018","PEDESTRIAN",7,7,0,1,4,2
"29","17031010300","2018","Vehicle/Other",117,13,0,2,10,1
"30","17031010300","2019","PEDALCYCLIST",2,2,0,0,2,0
"31","17031010300","2019","PEDESTRIAN",3,3,0,0,1,2
"32","17031010300","2019","Vehicle/Other",114,10,0,2,7,1
"33","17031010300","2020","PEDALCYCLIST",2,1,0,0,1,0
"34","17031010300","2020","Vehicle/Other",90,9,0,0,4,5
"35","17031010400","2018","PEDALCYCLIST",4,4,0,1,2,1
"36","17031010400","2018","PEDESTRIAN",5,4,0,1,3,0
"37","17031010400","2018","Vehicle/Other",173,16,0,2,10,4
"38","17031010400","2019","PEDALCYCLIST",2,1,0,0,1,0
"39","17031010400","2019","PEDESTRIAN",1,0,0,0,0,0
"40","17031010400","2019","Vehicle/Other",174,10,1,0,7,2
"41","17031010400","2020","PEDALCYCLIST",2,0,0,0,0,0
"42","17031010400","2020","PEDESTRIAN",1,1,0,0,1,0
"43","17031010400","2020","Vehicle/Other",98,12,0,1,8,3
"44","17031010501","2018","PEDALCYCLIST",2,2,0,0,2,0
"45","17031010501","2018","PEDESTRIAN",3,3,0,0,3,0
"46","17031010501","2018","Vehicle/Other",61,11,0,0,9,2
"47","17031010501","2019","PEDESTRIAN",2,2,0,1,1,0
"48","17031010501","2019","Vehicle/Other",52,10,0,4,3,3
"49","17031010501","2020","PEDALCYCLIST",1,1,0,0,1,0
"50","17031010501","2020","Vehicle/Other",44,3,0,0,2,1
"51","17031010502","2018","PEDALCYCLIST",2,2,0,1,1,0
"52","17031010502","2018","PEDESTRIAN",3,3,0,0,3,0
"53","17031010502","2018","Vehicle/Other",62,3,0,2,1,0
"54","17031010502","2019","PEDALCYCLIST",1,0,0,0,0,0
"55","17031010502","2019","PEDESTRIAN",1,0,0,0,0,0
"56","17031010502","2019","Vehicle/Other",48,5,0,3,2,0
"57","17031010502","2020","PEDALCYCLIST",1,1,0,0,1,0
"58","17031010502","2020","PEDESTRIAN",1,1,0,0,1,0
"59","17031010502","2020","Vehicle/Other",47,3,0,0,2,1
"60","17031010503","2018","PEDALCYCLIST",1,1,0,0,1,0
"61","17031010503","2018","PEDESTRIAN",3,3,0,0,2,1
"62","17031010503","2018","Vehicle/Other",108,10,0,1,8,1
"63","17031010503","2019","PEDALCYCLIST",2,2,0,0,2,0
"64","17031010503","2019","PEDESTRIAN",2,2,0,0,1,1
"65","17031010503","2019","Vehicle/Other",95,8,0,0,6,2
"66","17031010503","2020","PEDESTRIAN",5,5,0,2,3,0
"67","17031010503","2020","Vehicle/Other",70,1,0,0,1,0
"68","17031010600","2018","PEDALCYCLIST",2,2,0,0,1,1
"69","17031010600","2018","Vehicle/Other",87,1,0,0,1,0
"70","17031010600","2019","PEDALCYCLIST",1,1,0,0,0,1
"71","17031010600","2019","PEDESTRIAN",4,4,0,1,2,1
"72","17031010600","2019","Vehicle/Other",100,2,0,0,1,1
"73","17031010600","2020","PEDALCYCLIST",3,2,0,0,2,0
"74","17031010600","2020","PEDESTRIAN",1,1,0,0,1,0
"75","17031010600","2020","Vehicle/Other",49,4,0,2,2,0
"76","17031010701","2018","PEDALCYCLIST",3,3,0,0,3,0
"77","17031010701","2018","PEDESTRIAN",2,1,0,0,1,0
"78","17031010701","2018","Vehicle/Other",100,8,0,0,4,4
"79","17031010701","2019","PEDALCYCLIST",1,1,0,0,1,0
"80","17031010701","2019","PEDESTRIAN",2,2,0,0,2,0
"81","17031010701","2019","Vehicle/Other",97,8,0,0,6,2
"82","17031010701","2020","PEDALCYCLIST",2,1,0,0,1,0
"83","17031010701","2020","Vehicle/Other",56,9,1,1,7,0
"84","17031010702","2018","PEDALCYCLIST",5,3,0,0,3,0
"85","17031010702","2018","PEDESTRIAN",5,4,0,0,3,1
"86","17031010702","2018","Vehicle/Other",149,17,0,1,12,4
"87","17031010702","2019","PEDALCYCLIST",4,4,0,0,4,0
"88","17031010702","2019","PEDESTRIAN",2,2,0,0,1,1
"89","17031010702","2019","Vehicle/Other",117,9,0,1,6,2
"90","17031010702","2020","PEDALCYCLIST",3,2,0,0,2,0
"91","17031010702","2020","PEDESTRIAN",1,1,0,0,0,1
"92","17031010702","2020","Vehicle/Other",104,3,0,1,2,0
"93","17031020100","2018","PEDALCYCLIST",1,1,0,0,1,0
"94","17031020100","2018","PEDESTRIAN",6,5,0,0,3,2
"95","17031020100","2018","Vehicle/Other",128,21,0,1,12,8
"96","17031020100","2019","PEDALCYCLIST",3,2,0,0,2,0
"97","17031020100","2019","PEDESTRIAN",1,1,0,0,1,0
"98","17031020100","2019","Vehicle/Other",94,17,0,8,3,6
"99","17031020100","2020","PEDALCYCLIST",1,1,0,0,1,0
"100","17031020100","2020","PEDESTRIAN",1,1,0,0,1,0
"101","17031020100","2020","Vehicle/Other",112,17,0,0,2,15
"102","17031020200","2018","PEDALCYCLIST",3,2,0,0,2,0
"103","17031020200","2018","PEDESTRIAN",9,9,0,3,2,4
"104","17031020200","2018","Vehicle/Other",247,16,0,1,12,3
"105","17031020200","2019","PEDALCYCLIST",6,5,0,1,2,2
"106","17031020200","2019","PEDESTRIAN",4,4,0,1,3,0
"107","17031020200","2019","Vehicle/Other",255,21,0,1,12,8
"108","17031020200","2020","PEDALCYCLIST",1,1,0,0,1,0
"109","17031020200","2020","PEDESTRIAN",3,2,1,0,1,0
"110","17031020200","2020","Vehicle/Other",151,12,0,1,7,4
"111","17031020301","2018","PEDALCYCLIST",1,0,0,0,0,0
"112","17031020301","2018","PEDESTRIAN",3,3,0,1,2,0
"113","17031020301","2018","Vehicle/Other",105,6,0,0,6,0
"114","17031020301","2019","PEDALCYCLIST",2,1,0,0,1,0
"115","17031020301","2019","PEDESTRIAN",1,1,0,0,1,0
"116","17031020301","2019","Vehicle/Other",108,16,0,0,6,10
"117","17031020301","2020","PEDALCYCLIST",1,0,0,0,0,0
"118","17031020301","2020","PEDESTRIAN",4,4,0,1,2,1
"119","17031020301","2020","Vehicle/Other",68,10,0,1,4,5
"120","17031020302","2018","PEDALCYCLIST",2,2,0,0,2,0
"121","17031020302","2018","PEDESTRIAN",2,2,0,0,1,1
"122","17031020302","2018","Vehicle/Other",114,21,0,1,14,6
"123","17031020302","2019","PEDALCYCLIST",1,1,0,0,1,0
"124","17031020302","2019","PEDESTRIAN",1,1,0,0,1,0
"125","17031020302","2019","Vehicle/Other",143,16,0,1,11,4
"126","17031020302","2020","PEDALCYCLIST",3,3,0,2,1,0
"127","17031020302","2020","PEDESTRIAN",2,2,0,0,1,1
"128","17031020302","2020","Vehicle/Other",79,11,0,3,3,5
"129","17031020400","2018","PEDALCYCLIST",4,2,0,1,1,0
"130","17031020400","2018","PEDESTRIAN",4,3,0,1,2,0
"131","17031020400","2018","Vehicle/Other",163,21,0,1,17,3
"132","17031020400","2019","PEDALCYCLIST",4,4,0,0,3,1
"133","17031020400","2019","PEDESTRIAN",3,3,0,2,1,0
"134","17031020400","2019","Vehicle/Other",140,7,0,2,4,1
"135","17031020400","2020","PEDALCYCLIST",2,2,0,0,1,1
"136","17031020400","2020","Vehicle/Other",84,11,0,0,3,8
"137","17031020500","2018","PEDALCYCLIST",4,4,0,0,2,2
"138","17031020500","2018","PEDESTRIAN",10,11,0,1,9,1
"139","17031020500","2018","Vehicle/Other",235,8,0,1,2,5
"140","17031020500","2019","PEDALCYCLIST",2,2,0,0,2,0
"141","17031020500","2019","PEDESTRIAN",7,8,0,2,6,0
"142","17031020500","2019","Vehicle/Other",213,12,0,1,7,4
"143","17031020500","2020","PEDALCYCLIST",5,4,0,1,2,1
"144","17031020500","2020","PEDESTRIAN",4,4,0,2,2,0
"145","17031020500","2020","Vehicle/Other",122,14,0,2,9,3
"146","17031020601","2018","PEDALCYCLIST",2,2,0,1,1,0
"147","17031020601","2018","PEDESTRIAN",2,2,0,0,2,0
"148","17031020601","2018","Vehicle/Other",159,11,0,0,5,6
"149","17031020601","2019","PEDALCYCLIST",4,3,0,0,2,1
"150","17031020601","2019","PEDESTRIAN",12,12,0,2,8,2
"151","17031020601","2019","Vehicle/Other",142,14,0,0,8,6
"152","17031020601","2020","PEDALCYCLIST",2,2,0,0,2,0
"153","17031020601","2020","PEDESTRIAN",3,2,0,1,1,0
"154","17031020601","2020","Vehicle/Other",89,14,0,2,11,1
"155","17031020602","2018","PEDALCYCLIST",3,2,0,1,1,0
"156","17031020602","2018","PEDESTRIAN",6,5,0,0,2,3
"157","17031020602","2018","Vehicle/Other",153,6,0,1,4,1
"158","17031020602","2019","PEDALCYCLIST",2,2,0,0,2,0
"159","17031020602","2019","PEDESTRIAN",4,3,0,1,2,0
"160","17031020602","2019","Vehicle/Other",147,17,0,3,6,8
"161","17031020602","2020","PEDALCYCLIST",3,3,0,0,3,0
"162","17031020602","2020","PEDESTRIAN",2,1,0,0,1,0
"163","17031020602","2020","Vehicle/Other",95,11,0,0,6,5
"164","17031020701","2018","PEDALCYCLIST",3,2,0,1,1,0
"165","17031020701","2018","PEDESTRIAN",7,6,0,1,5,0
"166","17031020701","2018","Vehicle/Other",137,20,0,2,9,9
"167","17031020701","2019","PEDALCYCLIST",1,1,0,0,0,1
"168","17031020701","2019","Vehicle/Other",142,22,0,2,14,6
"169","17031020701","2020","PEDESTRIAN",1,1,0,1,0,0
"170","17031020701","2020","Vehicle/Other",76,25,0,6,11,8
"171","17031020702","2018","PEDALCYCLIST",4,4,0,1,3,0
"172","17031020702","2018","PEDESTRIAN",4,4,0,0,3,1
"173","17031020702","2018","Vehicle/Other",285,30,1,3,19,7
"174","17031020702","2019","PEDALCYCLIST",6,6,0,1,5,0
"175","17031020702","2019","PEDESTRIAN",5,6,0,2,2,2
"176","17031020702","2019","Vehicle/Other",291,38,0,6,15,17
"177","17031020702","2020","PEDALCYCLIST",2,1,0,0,0,1
"178","17031020702","2020","PEDESTRIAN",3,2,0,0,1,1
"179","17031020702","2020","Vehicle/Other",178,22,0,2,15,5
"180","17031020801","2018","PEDALCYCLIST",2,1,0,0,1,0
"181","17031020801","2018","PEDESTRIAN",4,2,0,0,2,0
"182","17031020801","2018","Vehicle/Other",159,20,0,1,12,7
"183","17031020801","2019","PEDALCYCLIST",2,2,0,1,1,0
"184","17031020801","2019","PEDESTRIAN",6,5,0,1,4,0
"185","17031020801","2019","Vehicle/Other",172,20,0,0,11,9
"186","17031020801","2020","PEDALCYCLIST",3,2,0,0,2,0
"187","17031020801","2020","Vehicle/Other",93,13,0,0,5,8
"188","17031020802","2018","PEDALCYCLIST",5,5,0,0,4,1
"189","17031020802","2018","PEDESTRIAN",7,7,0,1,6,0
"190","17031020802","2018","Vehicle/Other",302,33,0,1,22,10
"191","17031020802","2019","PEDALCYCLIST",6,7,0,0,6,1
"192","17031020802","2019","PEDESTRIAN",7,7,0,1,4,2
"193","17031020802","2019","Vehicle/Other",277,29,0,4,13,12
"194","17031020802","2020","PEDALCYCLIST",8,8,0,0,6,2
"195","17031020802","2020","PEDESTRIAN",7,7,0,2,2,3
"196","17031020802","2020","Vehicle/Other",206,21,1,2,13,5
"197","17031020901","2018","PEDALCYCLIST",2,1,0,0,0,1
"198","17031020901","2018","PEDESTRIAN",2,1,0,1,0,0
"199","17031020901","2018","Vehicle/Other",187,16,0,0,11,5
"200","17031020901","2019","PEDALCYCLIST",2,2,0,2,0,0
"201","17031020901","2019","PEDESTRIAN",5,5,0,1,3,1
"202","17031020901","2019","Vehicle/Other",159,21,0,1,12,8
"203","17031020901","2020","PEDALCYCLIST",3,3,0,0,2,1
"204","17031020901","2020","PEDESTRIAN",1,1,0,0,1,0
"205","17031020901","2020","Vehicle/Other",127,11,0,1,8,2
"206","17031020902","2018","PEDALCYCLIST",3,1,0,0,1,0
"207","17031020902","2018","PEDESTRIAN",4,3,0,0,3,0
"208","17031020902","2018","Vehicle/Other",154,19,0,0,13,6
"209","17031020902","2019","PEDALCYCLIST",2,2,0,0,1,1
"210","17031020902","2019","PEDESTRIAN",6,5,0,2,3,0
"211","17031020902","2019","Vehicle/Other",170,18,1,0,13,4
"212","17031020902","2020","PEDALCYCLIST",2,2,0,0,2,0
"213","17031020902","2020","PEDESTRIAN",2,2,0,1,1,0
"214","17031020902","2020","Vehicle/Other",100,8,0,1,4,3
"215","17031030101","2018","PEDALCYCLIST",1,1,0,0,0,1
"216","17031030101","2018","PEDESTRIAN",1,0,0,0,0,0
"217","17031030101","2018","Vehicle/Other",30,0,0,0,0,0
"218","17031030101","2019","PEDALCYCLIST",2,1,0,1,0,0
"219","17031030101","2019","PEDESTRIAN",2,2,0,1,1,0
"220","17031030101","2019","Vehicle/Other",56,2,0,1,0,1
"221","17031030101","2020","PEDESTRIAN",3,3,0,0,2,1
"222","17031030101","2020","Vehicle/Other",39,2,0,1,1,0
"223","17031030102","2018","PEDALCYCLIST",2,1,0,0,1,0
"224","17031030102","2018","PEDESTRIAN",1,0,0,0,0,0
"225","17031030102","2018","Vehicle/Other",55,0,0,0,0,0
"226","17031030102","2019","PEDALCYCLIST",2,2,0,1,1,0
"227","17031030102","2019","PEDESTRIAN",2,1,0,0,1,0
"228","17031030102","2019","Vehicle/Other",42,2,0,0,1,1
"229","17031030102","2020","PEDESTRIAN",1,1,0,0,1,0
"230","17031030102","2020","Vehicle/Other",40,0,0,0,0,0
"231","17031030103","2018","PEDALCYCLIST",1,1,0,0,1,0
"232","17031030103","2018","PEDESTRIAN",2,2,0,0,1,1
"233","17031030103","2018","Vehicle/Other",40,10,0,0,4,6
"234","17031030103","2019","PEDALCYCLIST",2,2,0,0,1,1
"235","17031030103","2019","PEDESTRIAN",2,3,0,0,2,1
"236","17031030103","2019","Vehicle/Other",46,4,0,1,3,0
"237","17031030103","2020","PEDALCYCLIST",2,1,0,0,0,1
"238","17031030103","2020","PEDESTRIAN",1,1,0,0,0,1
"239","17031030103","2020","Vehicle/Other",30,3,0,1,0,2
"240","17031030104","2018","PEDESTRIAN",1,1,0,0,0,1
"241","17031030104","2018","Vehicle/Other",53,5,0,0,3,2
"242","17031030104","2019","PEDALCYCLIST",1,1,0,1,0,0
"243","17031030104","2019","PEDESTRIAN",2,0,0,0,0,0
"244","17031030104","2019","Vehicle/Other",52,5,0,1,3,1
"245","17031030104","2020","PEDESTRIAN",1,1,0,0,1,0
"246","17031030104","2020","Vehicle/Other",29,0,0,0,0,0
"247","17031030200","2018","PEDALCYCLIST",6,5,0,1,4,0
"248","17031030200","2018","PEDESTRIAN",12,10,0,0,8,2
"249","17031030200","2018","Vehicle/Other",199,18,0,0,8,10
"250","17031030200","2019","PEDALCYCLIST",10,4,0,0,3,1
"251","17031030200","2019","PEDESTRIAN",2,1,0,0,1,0
"252","17031030200","2019","Vehicle/Other",179,8,0,3,5,0
"253","17031030200","2020","PEDALCYCLIST",4,2,0,0,2,0
"254","17031030200","2020","PEDESTRIAN",3,3,0,0,3,0
"255","17031030200","2020","Vehicle/Other",103,11,0,3,7,1
"256","17031030300","2018","PEDALCYCLIST",1,0,0,0,0,0
"257","17031030300","2018","PEDESTRIAN",3,3,0,0,3,0
"258","17031030300","2018","Vehicle/Other",128,11,0,1,8,2
"259","17031030300","2019","Vehicle/Other",128,14,0,0,8,6
"260","17031030300","2020","PEDALCYCLIST",5,5,0,1,4,0
"261","17031030300","2020","PEDESTRIAN",1,1,0,0,1,0
"262","17031030300","2020","Vehicle/Other",80,2,0,0,0,2
"263","17031030400","2018","PEDALCYCLIST",4,3,0,0,3,0
"264","17031030400","2018","PEDESTRIAN",1,1,0,1,0,0
"265","17031030400","2018","Vehicle/Other",165,16,0,1,10,5
"266","17031030400","2019","PEDALCYCLIST",1,1,0,0,1,0
"267","17031030400","2019","Vehicle/Other",149,12,0,0,8,4
"268","17031030400","2020","PEDALCYCLIST",2,2,0,1,0,1
"269","17031030400","2020","PEDESTRIAN",2,2,0,0,2,0
"270","17031030400","2020","Vehicle/Other",107,6,0,0,5,1
"271","17031030500","2018","PEDALCYCLIST",6,4,0,1,2,1
"272","17031030500","2018","PEDESTRIAN",9,10,0,1,7,2
"273","17031030500","2018","Vehicle/Other",272,32,0,1,11,20
"274","17031030500","2019","PEDALCYCLIST",8,6,0,1,3,2
"275","17031030500","2019","PEDESTRIAN",9,7,0,0,6,1
"276","17031030500","2019","Vehicle/Other",247,27,0,1,15,11
"277","17031030500","2020","PEDALCYCLIST",1,1,0,0,1,0
"278","17031030500","2020","PEDESTRIAN",5,6,0,2,4,0
"279","17031030500","2020","Vehicle/Other",157,20,0,0,7,13
"280","17031030601","2018","PEDALCYCLIST",3,2,0,0,2,0
"281","17031030601","2018","PEDESTRIAN",1,1,0,0,1,0
"282","17031030601","2018","Vehicle/Other",65,5,0,0,3,2
"283","17031030601","2019","PEDALCYCLIST",1,0,0,0,0,0
"284","17031030601","2019","PEDESTRIAN",1,1,0,0,1,0
"285","17031030601","2019","Vehicle/Other",82,6,0,0,2,4
"286","17031030601","2020","PEDALCYCLIST",3,2,0,1,1,0
"287","17031030601","2020","PEDESTRIAN",1,1,0,0,1,0
"288","17031030601","2020","Vehicle/Other",51,4,0,1,2,1
"289","17031030603","2018","PEDALCYCLIST",2,1,0,0,1,0
"290","17031030603","2018","PEDESTRIAN",2,2,0,1,1,0
"291","17031030603","2018","Vehicle/Other",86,10,0,0,4,6
"292","17031030603","2019","PEDALCYCLIST",2,2,0,0,2,0
"293","17031030603","2019","PEDESTRIAN",2,2,0,0,2,0
"294","17031030603","2019","Vehicle/Other",88,3,0,0,2,1
"295","17031030603","2020","PEDESTRIAN",2,1,0,0,1,0
"296","17031030603","2020","Vehicle/Other",56,13,0,0,10,3
"297","17031030604","2018","PEDESTRIAN",4,4,0,1,3,0
