"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","17031010100","2009","PEDALCYCLIST",1,1,0,0,0,1
"2","17031010100","2009","PEDESTRIAN",2,2,0,0,2,0
"3","17031010100","2009","Vehicle/Other",69,9,0,2,6,1
"4","17031010100","2010","PEDESTRIAN",3,3,0,0,1,2
"5","17031010100","2010","Vehicle/Other",59,4,0,0,2,2
"6","17031010100","2011","PEDESTRIAN",5,5,0,0,2,3
"7","17031010100","2011","Vehicle/Other",52,3,0,0,0,3
"8","17031010100","2012","PEDALCYCLIST",5,5,0,1,3,1
"9","17031010100","2012","PEDESTRIAN",6,6,0,0,4,2
"10","17031010100","2012","Vehicle/Other",55,7,0,0,4,3
"11","17031010100","2013","PEDALCYCLIST",2,2,0,0,2,0
"12","17031010100","2013","PEDESTRIAN",4,3,0,1,0,2
"13","17031010100","2013","Vehicle/Other",59,13,0,0,7,6
"14","17031010100","2014","PEDALCYCLIST",1,1,0,0,1,0
"15","17031010100","2014","Vehicle/Other",67,12,0,2,6,4
"16","17031010100","2015","PEDESTRIAN",1,1,0,0,1,0
"17","17031010100","2015","Vehicle/Other",52,6,0,2,3,1
"18","17031010100","2016","PEDALCYCLIST",4,5,0,0,5,0
"19","17031010100","2016","PEDESTRIAN",1,1,0,0,1,0
"20","17031010100","2016","Vehicle/Other",69,7,0,1,3,3
"21","17031010100","2017","PEDALCYCLIST",1,1,0,0,0,1
"22","17031010100","2017","PEDESTRIAN",2,2,0,0,2,0
"23","17031010100","2017","Vehicle/Other",63,6,0,1,5,0
"24","17031010201","2009","PEDALCYCLIST",5,5,0,2,1,2
"25","17031010201","2009","PEDESTRIAN",6,6,0,0,3,3
"26","17031010201","2009","Vehicle/Other",81,8,0,0,3,5
"27","17031010201","2010","PEDALCYCLIST",5,5,0,0,3,2
"28","17031010201","2010","Vehicle/Other",70,9,0,0,4,5
"29","17031010201","2011","PEDALCYCLIST",1,1,0,1,0,0
"30","17031010201","2011","Vehicle/Other",57,3,0,0,2,1
"31","17031010201","2012","PEDALCYCLIST",2,2,0,0,1,1
"32","17031010201","2012","PEDESTRIAN",1,1,0,0,1,0
"33","17031010201","2012","Vehicle/Other",58,3,0,0,3,0
"34","17031010201","2013","PEDALCYCLIST",3,3,0,0,2,1
"35","17031010201","2013","Vehicle/Other",83,15,0,0,7,8
"36","17031010201","2014","PEDALCYCLIST",5,5,0,1,4,0
"37","17031010201","2014","PEDESTRIAN",1,1,0,0,1,0
"38","17031010201","2014","Vehicle/Other",66,2,0,1,0,1
"39","17031010201","2015","PEDALCYCLIST",3,3,0,0,1,2
"40","17031010201","2015","PEDESTRIAN",4,4,0,0,4,0
"41","17031010201","2015","Vehicle/Other",95,16,0,1,10,5
"42","17031010201","2016","PEDALCYCLIST",1,1,0,0,0,1
"43","17031010201","2016","PEDESTRIAN",2,2,0,0,0,2
"44","17031010201","2016","Vehicle/Other",86,1,0,0,0,1
"45","17031010201","2017","PEDALCYCLIST",1,1,0,0,1,0
"46","17031010201","2017","PEDESTRIAN",3,3,0,1,2,0
"47","17031010201","2017","Vehicle/Other",96,7,0,1,3,3
"48","17031010202","2009","PEDESTRIAN",3,3,0,0,3,0
"49","17031010202","2009","Vehicle/Other",53,4,1,0,1,3
"50","17031010202","2010","PEDALCYCLIST",3,2,0,0,2,0
"51","17031010202","2010","PEDESTRIAN",4,4,0,1,0,3
"52","17031010202","2010","Vehicle/Other",58,8,0,0,6,2
"53","17031010202","2011","PEDALCYCLIST",1,1,0,0,1,0
"54","17031010202","2011","PEDESTRIAN",5,5,0,0,3,2
"55","17031010202","2011","Vehicle/Other",61,12,0,4,5,3
"56","17031010202","2012","PEDALCYCLIST",2,2,0,1,0,1
"57","17031010202","2012","PEDESTRIAN",6,7,0,1,3,3
"58","17031010202","2012","Vehicle/Other",58,11,0,0,6,5
"59","17031010202","2013","PEDALCYCLIST",3,2,0,0,1,1
"60","17031010202","2013","PEDESTRIAN",2,2,0,0,2,0
"61","17031010202","2013","Vehicle/Other",42,8,0,0,1,7
"62","17031010202","2014","PEDALCYCLIST",2,2,0,1,1,0
"63","17031010202","2014","PEDESTRIAN",1,1,0,0,1,0
"64","17031010202","2014","Vehicle/Other",51,6,0,0,3,3
"65","17031010202","2015","PEDESTRIAN",5,4,1,1,3,0
"66","17031010202","2015","Vehicle/Other",45,8,0,0,2,6
"67","17031010202","2016","PEDALCYCLIST",1,1,0,0,0,1
"68","17031010202","2016","PEDESTRIAN",3,3,0,1,0,2
"69","17031010202","2016","Vehicle/Other",71,16,0,1,13,2
"70","17031010202","2017","PEDALCYCLIST",3,3,0,0,3,0
"71","17031010202","2017","PEDESTRIAN",8,8,0,3,2,3
"72","17031010202","2017","Vehicle/Other",67,5,0,0,1,4
"73","17031010300","2009","PEDALCYCLIST",1,1,0,0,0,1
"74","17031010300","2009","PEDESTRIAN",5,5,0,1,1,3
"75","17031010300","2009","Vehicle/Other",64,26,0,1,22,3
"76","17031010300","2010","PEDALCYCLIST",2,2,0,0,1,1
"77","17031010300","2010","PEDESTRIAN",5,8,0,0,3,5
"78","17031010300","2010","Vehicle/Other",60,6,0,0,5,1
"79","17031010300","2011","PEDESTRIAN",4,4,0,1,2,1
"80","17031010300","2011","Vehicle/Other",74,7,0,1,3,3
"81","17031010300","2012","PEDALCYCLIST",4,4,0,0,3,1
"82","17031010300","2012","PEDESTRIAN",3,3,0,1,1,1
"83","17031010300","2012","Vehicle/Other",56,9,0,0,4,5
"84","17031010300","2013","PEDALCYCLIST",1,1,0,0,0,1
"85","17031010300","2013","PEDESTRIAN",1,1,0,0,1,0
"86","17031010300","2013","Vehicle/Other",62,16,0,0,10,6
"87","17031010300","2014","PEDESTRIAN",3,3,0,1,1,1
"88","17031010300","2014","Vehicle/Other",94,16,0,0,5,11
"89","17031010300","2015","PEDALCYCLIST",2,2,0,1,1,0
"90","17031010300","2015","PEDESTRIAN",3,3,0,2,0,1
"91","17031010300","2015","Vehicle/Other",69,8,0,2,4,2
"92","17031010300","2016","PEDALCYCLIST",1,1,0,0,1,0
"93","17031010300","2016","PEDESTRIAN",5,5,0,0,3,2
"94","17031010300","2016","Vehicle/Other",89,14,0,1,8,5
"95","17031010300","2017","PEDALCYCLIST",4,4,0,1,2,1
"96","17031010300","2017","PEDESTRIAN",1,1,0,0,1,0
"97","17031010300","2017","Vehicle/Other",81,11,0,1,5,5
"98","17031010400","2009","PEDALCYCLIST",5,4,0,0,3,1
"99","17031010400","2009","PEDESTRIAN",6,6,0,1,3,2
"100","17031010400","2009","Vehicle/Other",115,14,0,1,2,11
"101","17031010400","2010","PEDALCYCLIST",2,2,0,0,1,1
"102","17031010400","2010","PEDESTRIAN",2,2,0,1,0,1
"103","17031010400","2010","Vehicle/Other",116,18,0,1,9,8
"104","17031010400","2011","PEDALCYCLIST",1,1,0,0,1,0
"105","17031010400","2011","PEDESTRIAN",4,4,0,0,2,2
"106","17031010400","2011","Vehicle/Other",100,7,0,0,4,3
"107","17031010400","2012","PEDALCYCLIST",2,2,0,0,0,2
"108","17031010400","2012","PEDESTRIAN",4,3,1,1,0,2
"109","17031010400","2012","Vehicle/Other",109,15,0,1,3,11
"110","17031010400","2013","PEDALCYCLIST",4,3,0,1,2,0
"111","17031010400","2013","PEDESTRIAN",5,5,0,0,3,2
"112","17031010400","2013","Vehicle/Other",99,16,0,0,5,11
"113","17031010400","2014","PEDESTRIAN",2,2,0,0,2,0
"114","17031010400","2014","Vehicle/Other",91,7,0,4,1,2
"115","17031010400","2015","PEDESTRIAN",4,4,0,0,2,2
"116","17031010400","2015","Vehicle/Other",94,8,0,0,5,3
"117","17031010400","2016","PEDALCYCLIST",3,2,0,1,0,1
"118","17031010400","2016","PEDESTRIAN",4,4,0,0,3,1
"119","17031010400","2016","Vehicle/Other",108,17,0,3,9,5
"120","17031010400","2017","PEDALCYCLIST",1,1,0,0,1,0
"121","17031010400","2017","PEDESTRIAN",2,2,0,0,2,0
"122","17031010400","2017","Vehicle/Other",128,10,0,1,3,6
"123","17031010501","2009","PEDALCYCLIST",2,2,0,0,2,0
"124","17031010501","2009","PEDESTRIAN",2,2,0,1,1,0
"125","17031010501","2009","Vehicle/Other",43,5,0,0,2,3
"126","17031010501","2010","PEDALCYCLIST",1,1,0,0,1,0
"127","17031010501","2010","PEDESTRIAN",4,3,1,0,2,1
"128","17031010501","2010","Vehicle/Other",34,9,0,0,6,3
"129","17031010501","2011","PEDALCYCLIST",1,1,0,0,0,1
"130","17031010501","2011","PEDESTRIAN",2,2,0,0,1,1
"131","17031010501","2011","Vehicle/Other",37,8,0,1,2,5
"132","17031010501","2012","PEDALCYCLIST",2,2,0,0,2,0
"133","17031010501","2012","PEDESTRIAN",2,2,0,1,0,1
"134","17031010501","2012","Vehicle/Other",33,4,0,0,4,0
"135","17031010501","2013","PEDALCYCLIST",1,1,0,0,1,0
"136","17031010501","2013","Vehicle/Other",47,12,0,1,8,3
"137","17031010501","2014","PEDALCYCLIST",1,0,0,0,0,0
"138","17031010501","2014","Vehicle/Other",56,11,0,1,3,7
