"","tract","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","17031010100","2009","no",69,9,0,2,6,1
"2","17031010100","2009","yes",3,3,0,0,2,1
"3","17031010100","2010","no",59,4,0,0,2,2
"4","17031010100","2010","yes",3,3,0,0,1,2
"5","17031010100","2011","no",52,3,0,0,0,3
"6","17031010100","2011","yes",5,5,0,0,2,3
"7","17031010100","2012","no",55,7,0,0,4,3
"8","17031010100","2012","yes",11,11,0,1,7,3
"9","17031010100","2013","no",59,13,0,0,7,6
"10","17031010100","2013","yes",6,5,0,1,2,2
"11","17031010100","2014","no",67,12,0,2,6,4
"12","17031010100","2014","yes",1,1,0,0,1,0
"13","17031010100","2015","no",52,6,0,2,3,1
"14","17031010100","2015","yes",1,1,0,0,1,0
"15","17031010100","2016","no",69,7,0,1,3,3
"16","17031010100","2016","yes",5,6,0,0,6,0
"17","17031010100","2017","no",63,6,0,1,5,0
"18","17031010100","2017","yes",3,3,0,0,2,1
"19","17031010201","2009","no",81,8,0,0,3,5
"20","17031010201","2009","yes",11,11,0,2,4,5
"21","17031010201","2010","no",70,9,0,0,4,5
"22","17031010201","2010","yes",5,5,0,0,3,2
"23","17031010201","2011","no",57,3,0,0,2,1
"24","17031010201","2011","yes",1,1,0,1,0,0
"25","17031010201","2012","no",58,3,0,0,3,0
"26","17031010201","2012","yes",3,3,0,0,2,1
"27","17031010201","2013","no",83,15,0,0,7,8
"28","17031010201","2013","yes",3,3,0,0,2,1
"29","17031010201","2014","no",66,2,0,1,0,1
"30","17031010201","2014","yes",6,6,0,1,5,0
"31","17031010201","2015","no",95,16,0,1,10,5
"32","17031010201","2015","yes",7,7,0,0,5,2
"33","17031010201","2016","no",86,1,0,0,0,1
"34","17031010201","2016","yes",3,3,0,0,0,3
"35","17031010201","2017","no",96,7,0,1,3,3
"36","17031010201","2017","yes",4,4,0,1,3,0
"37","17031010202","2009","no",53,4,1,0,1,3
"38","17031010202","2009","yes",3,3,0,0,3,0
"39","17031010202","2010","no",58,8,0,0,6,2
"40","17031010202","2010","yes",7,6,0,1,2,3
"41","17031010202","2011","no",61,12,0,4,5,3
"42","17031010202","2011","yes",6,6,0,0,4,2
"43","17031010202","2012","no",58,11,0,0,6,5
"44","17031010202","2012","yes",8,9,0,2,3,4
"45","17031010202","2013","no",42,8,0,0,1,7
"46","17031010202","2013","yes",5,4,0,0,3,1
"47","17031010202","2014","no",51,6,0,0,3,3
"48","17031010202","2014","yes",3,3,0,1,2,0
"49","17031010202","2015","no",45,8,0,0,2,6
"50","17031010202","2015","yes",5,4,1,1,3,0
"51","17031010202","2016","no",71,16,0,1,13,2
"52","17031010202","2016","yes",4,4,0,1,0,3
"53","17031010202","2017","no",67,5,0,0,1,4
"54","17031010202","2017","yes",11,11,0,3,5,3
"55","17031010300","2009","no",64,26,0,1,22,3
"56","17031010300","2009","yes",6,6,0,1,1,4
"57","17031010300","2010","no",60,6,0,0,5,1
"58","17031010300","2010","yes",7,10,0,0,4,6
"59","17031010300","2011","no",74,7,0,1,3,3
"60","17031010300","2011","yes",4,4,0,1,2,1
"61","17031010300","2012","no",56,9,0,0,4,5
"62","17031010300","2012","yes",7,7,0,1,4,2
"63","17031010300","2013","no",62,16,0,0,10,6
"64","17031010300","2013","yes",2,2,0,0,1,1
"65","17031010300","2014","no",94,16,0,0,5,11
"66","17031010300","2014","yes",3,3,0,1,1,1
"67","17031010300","2015","no",69,8,0,2,4,2
"68","17031010300","2015","yes",5,5,0,3,1,1
"69","17031010300","2016","no",89,14,0,1,8,5
"70","17031010300","2016","yes",6,6,0,0,4,2
"71","17031010300","2017","no",81,11,0,1,5,5
"72","17031010300","2017","yes",5,5,0,1,3,1
"73","17031010400","2009","no",115,14,0,1,2,11
"74","17031010400","2009","yes",11,10,0,1,6,3
"75","17031010400","2010","no",116,18,0,1,9,8
"76","17031010400","2010","yes",4,4,0,1,1,2
"77","17031010400","2011","no",100,7,0,0,4,3
"78","17031010400","2011","yes",5,5,0,0,3,2
"79","17031010400","2012","no",109,15,0,1,3,11
"80","17031010400","2012","yes",6,5,1,1,0,4
"81","17031010400","2013","no",99,16,0,0,5,11
"82","17031010400","2013","yes",9,8,0,1,5,2
"83","17031010400","2014","no",91,7,0,4,1,2
"84","17031010400","2014","yes",2,2,0,0,2,0
